"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "Markdown", "YAML", "JavaScript", "CSS", "Python", "Docker", "pip requirements", "HTML", "comment", "blank", "total"
"/Users/wjshewitt/prospect/src/services/geometry/polygon.ts", "TypeScript", 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 38, 360
"/Users/wjshewitt/prospect/src/services/local-authority/local-authority-service.ts", "TypeScript", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 34, 298
"/Users/wjshewitt/prospect/src/services/measurement.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 26, 205
"/Users/wjshewitt/prospect/src/services/pdf-report-service.ts", "TypeScript", 536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 52, 606
"/Users/wjshewitt/prospect/src/services/procedural-generation.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 92
"/Users/wjshewitt/prospect/src/services/proximity-service.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 179
"/Users/wjshewitt/prospect/src/services/turf-operations.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 70
"/Users/wjshewitt/prospect/src/services/zoning/rules.ts", "TypeScript", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 31, 339
"/Users/wjshewitt/prospect/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 863, 0, 0, 0, 0, 21, 149, 1033
"/Users/wjshewitt/prospect/tailwind.config.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 105
"/Users/wjshewitt/prospect/tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 6483, 16697, 27, 18438, 2145, 30, 2644, 1981, 0, 7, 4, 536, 1380, 3929, 54301
