"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/wjshewitt/prospect/src/ai/flows/summarize-site-flow.ts", "TypeScript", 15, 0, 1, 16
"Total", "-", 15, 0, 1, 16
